Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
ZENOS CARS E10 2.0,C20HDEX,147 kW / 200 HP,1999 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZENOS CARS E10 2.0 S,C20HDTX,184 kW / 250 HP,1999 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZENOS CARS E10 2.3 R,C23HD0D,257 kW / 350 HP,2261 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZUENDAPP KS KS 125 Sport (521-01),,11 kW / 15 HP,123 ccm,1 cylinder,? valves,Mixture,1971/01 - 1972/12,ZUENDAPP
ZUENDAPP KS KS 125 Sport (521-05),,13 kW / 17 HP,123 ccm,1 cylinder,? valves,Mixture,1973/01 - 1975/12,ZUENDAPP
