Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
AEBI TT 40,V 1405-B,26 kW / 35 HP,1393 ccm,? cylinders,? valves,,1989/01 - X,AEBI
AEBI TT 50,V 1505-TE,34 kW / 46 HP,1498 ccm,? cylinders,? valves,,1990/01 - X,AEBI
AEBI TT 60,V 1505-TE,34 kW / 46 HP,1498 ccm,? cylinders,? valves,,1990/01 - X,AEBI
"AEBI TT 70, 70S",V 2003-TE,45 kW / 61 HP,1999 ccm,? cylinders,? valves,,1996/01 - X,AEBI
AEBI TT 80,V 1505-TE,34 kW / 46 HP,1498 ccm,? cylinders,? valves,,1990/01 - X,AEBI
AEBI TT 80,V 2203-E,36 kW / 49 HP,2197 ccm,? cylinders,? valves,,1990/01 - X,AEBI
AEBI TT 90,,58 kW / 79 HP,2299 ccm,? cylinders,? valves,,1989/01 - X,AEBI
AEBI TT 95,D 704 LT,61 kW / 83 HP,2776 ccm,? cylinders,? valves,,1994/01 - X,AEBI
