Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
FUSO (MITSUBISHI) Fighter MK2 FN25-270,6M60-1AT2,199 kW / 271 HP,7545 ccm,? cylinders,? valves,,2011/12 - X,FUSO
"GALLOPER GALLOPER 2.5 TD intercooler (KNE1CP, KPE1CP)",D4BH,73 kW / 99 HP,2476 ccm,4 cylinders,8 valves,Diesel,1997/11 - 2002/08,GALLOPER
GALLOPER GALLOPER 2.5 TD (KNE1CP),D4BF,65 kW / 88 HP,2476 ccm,4 cylinders,8 valves,Diesel,1997/11 - 2002/08,GALLOPER
GASGAS EC EC 125 (EC),,3 kW / 4 HP,124 ccm,1 cylinder,? valves,Mixture,2008/01 - X,GASGAS
GASGAS EC EC 200,,28 kW / 38 HP,199 ccm,1 cylinder,? valves,Mixture,2007/01 - X,GASGAS
GASGAS EC EC 200 Racing,,4 kW / 5 HP,199 ccm,1 cylinder,? valves,Mixture,2016/01 - X,GASGAS
GASGAS EC EC 250 (4G),,5 kW / 7 HP,249 ccm,1 cylinder,2 valves,Petrol,2012/01 - X,GASGAS
GASGAS EC EC 250 Cami F (PA),,10 kW / 14 HP,247 ccm,1 cylinder,4 valves,Petrol,2013/11 - X,GASGAS
GASGAS EC EC 250 (CG),,6 kW / 8 HP,249 ccm,1 cylinder,? valves,Mixture,2012/01 - X,GASGAS
GASGAS EC EC 250 (EC),,37 kW / 50 HP,249 ccm,1 cylinder,? valves,Mixture,2007/01 - X,GASGAS
GASGAS EC EC 250 (FS),,37 kW / 50 HP,249 ccm,1 cylinder,? valves,Mixture,2009/01 - X,GASGAS
GASGAS EC EC 250 Racing (4E),,5 kW / 7 HP,249 ccm,1 cylinder,? valves,Mixture,2016/01 - X,GASGAS
GASGAS EC EC 300 (EC),,37 kW / 50 HP,295 ccm,1 cylinder,? valves,Mixture,2007/01 - X,GASGAS
GASGAS EC EC 300 (FS),,37 kW / 50 HP,295 ccm,1 cylinder,? valves,Mixture,2012/01 - X,GASGAS
GASGAS EC EC 300 Racing,,6 kW / 8 HP,299 ccm,1 cylinder,? valves,Mixture,2016/01 - X,GASGAS
GASGAS EC EC 450 FSE (FS),,11 kW / 15 HP,449 ccm,1 cylinder,4 valves,Petrol,2006/01 - X,GASGAS
GEELY BL 1.3,"8A, MR479Q",63 kW / 86 HP,1342 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY BL 1.5,"5A-FE, MR479QA",69 kW / 94 HP,1498 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY BOYUE (MR6453) 2.0,JLD-4G20,102 kW / 139 HP,1997 ccm,4 cylinders,16 valves,Petrol,2018/02 - X,GEELY
GEELY BOYUE (MR6453) 2.4,JLD-4G24,110 kW / 149 HP,2378 ccm,4 cylinders,16 valves,Petrol,2018/02 - X,GEELY
GEELY BOYUE (MR6453) 2.4 AWD,JLD-4G24,110 kW / 149 HP,2378 ccm,4 cylinders,16 valves,Petrol,2018/02 - X,GEELY
GEELY CK 1.3,"8A-FE, MR479Q",63 kW / 86 HP,1342 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY CK 1.5,"5A-FE, MR479QA",69 kW / 94 HP,1498 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY CK 1.6,MR481QA,79 kW / 107 HP,1587 ccm,4 cylinders,16 valves,Petrol,2005/09 - 2011/06,GEELY
GEELY HQ SRV 1.1,JL378QE,40 kW / 54 HP,1046 ccm,3 cylinders,6 valves,Petrol,2005/09 - X,GEELY
GEELY MR Hatchback 1.3,MR479Q,63 kW / 86 HP,1342 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY MR Sedan 1.1,JL378QE,40 kW / 54 HP,1046 ccm,3 cylinders,6 valves,Petrol,2005/09 - X,GEELY
GEELY MR Sedan 1.3,MR479Q,63 kW / 86 HP,1342 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY MR Sedan 1.5,MR479QA,69 kW / 94 HP,1498 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEELY PU 1.0,JL376QE,38 kW / 52 HP,993 ccm,3 cylinders,6 valves,Petrol,2005/09 - X,GEELY
GEELY PU 1.3,MR479Q,63 kW / 86 HP,1342 ccm,4 cylinders,16 valves,Petrol,2005/09 - X,GEELY
GEO METRO 1.0,3L <6>,41 kW / 56 HP,993 ccm,3 cylinders,6 valves,Petrol,1988/09 - 1998/12,GEO
GEO METRO 1.3 GTI,G13B,74 kW / 101 HP,1299 ccm,4 cylinders,16 valves,Petrol,1989/01 - 1998/12,GEO
GEO METRO 1.3 i,G13BA,52 kW / 71 HP,1299 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1998/12,GEO
GEO METRO Convertible 1.0,3L <6>,41 kW / 56 HP,993 ccm,3 cylinders,6 valves,Petrol,1989/01 - 1998/12,GEO
GEO METRO Convertible 1.3 i,G13BA,52 kW / 71 HP,1299 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1998/12,GEO
GEO METRO Saloon 1.3 i,G13BA,52 kW / 71 HP,1299 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1998/12,GEO
GEO STORM Coupe 1.6 i,4XE1-V3,67 kW / 91 HP,1588 ccm,4 cylinders,12 valves,Petrol,1991/04 - 1993/12,GEO
GEO STORM Coupe 1.6 i 16V,4XE1U,97 kW / 132 HP,1588 ccm,4 cylinders,16 valves,Petrol,1991/04 - 1993/12,GEO
GEO STORM Coupe 1.8 i 16V,4XF1U,105 kW / 142 HP,1809 ccm,4 cylinders,16 valves,Petrol,1991/04 - 1993/12,GEO
GEO STORM Coupe 1.6 i,4XE1-V3,71 kW / 96 HP,1588 ccm,4 cylinders,12 valves,Petrol,1989/01 - 1991/03,GEO
GEO STORM Coupe 1.6 i 16V,4XE1U,97 kW / 132 HP,1588 ccm,4 cylinders,16 valves,Petrol,1989/01 - 1991/03,GEO
GEO STORM Hatchback 1.6 i,4XE1-V3,71 kW / 96 HP,1588 ccm,4 cylinders,12 valves,Petrol,1989/01 - 1991/03,GEO
GEO STORM Hatchback 1.6 i 16V,4XE1U,97 kW / 132 HP,1588 ccm,4 cylinders,16 valves,Petrol,1989/01 - 1991/03,GEO
GEO STORM Hatchback 1.6 i,4XE1-V3,67 kW / 91 HP,1588 ccm,4 cylinders,12 valves,Petrol,1991/04 - 1993/12,GEO
GEO STORM Hatchback 1.6 i 16V,4XE1U,97 kW / 132 HP,1588 ccm,4 cylinders,16 valves,Petrol,1991/04 - 1993/12,GEO
GEO STORM Hatchback 1.8 i 16V,4XF1U,105 kW / 142 HP,1809 ccm,4 cylinders,16 valves,Petrol,1991/04 - 1993/12,GEO
GEO TRACKER Cabrio 1.6 i,G16A,59 kW / 80 HP,1590 ccm,4 cylinders,8 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Cabrio 1.6 i 16V,G16B,71 kW / 97 HP,1590 ccm,4 cylinders,16 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Cabrio 2.0 i 16V,J20A,97 kW / 132 HP,1995 ccm,4 cylinders,16 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Station Wagon 1.6 i,G16A,59 kW / 80 HP,1590 ccm,4 cylinders,8 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Station Wagon 1.6 i 16V,G16B,71 kW / 97 HP,1590 ccm,4 cylinders,16 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Station Wagon 1.9 D,XUD9,50 kW / 68 HP,1905 ccm,4 cylinders,8 valves,Diesel,1994/12 - 1998/12,GEO
GEO TRACKER Station Wagon 2.0 i 16V,J20A,97 kW / 132 HP,1995 ccm,4 cylinders,16 valves,Petrol,1988/01 - 1998/12,GEO
GEO TRACKER Station Wagon 2.0 i V6,H 20 A,100 kW / 136 HP,1998 ccm,6 cylinders,24 valves,Petrol,1994/12 - 1998/12,GEO
GINAF C-Series 2120 N,F4AE0681D,154 kW / 209 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2120 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2120 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2121 N,F4AE0681D,154 kW / 209 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2121 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2121 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2122 N,F4AE0681D,154 kW / 209 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2122 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2122 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2222 N,F4AE0681D,154 kW / 209 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2222 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 2222 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3127 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3127 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3128 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3128 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3129 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3129 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3130 N,F4AE0681B,176 kW / 240 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF C-Series 3130 N,F4AE0681A,202 kW / 275 HP,5883 ccm,? cylinders,? valves,,2003/09 - X,GINAF
GINAF X-Series 2219 L,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2219 L,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2219 L,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2219 L,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2220 L,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2220 L,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2220 L,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2220 L,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 2221 L, 2222 L",XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 2221 L, 2222 L",XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 2221 L, 2222 L",XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 2221 L, 2222 L",XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2222 L,PE 183 C,183 kW / 249 HP,9200 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2222 L,PE 228 C,228 kW / 310 HP,9200 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2222 L,PE 265 C,265 kW / 360 HP,9200 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2223 L,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2223 L,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2223 L,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2223 L,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2225 L,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2225 L,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2225 L,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 2225 L,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3232 S,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3232 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3232 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3232 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3233 S,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3233 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3233 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3233 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3238,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3238,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3238,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3238,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3329,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3329,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3329,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3329,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3331,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3331,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3331,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3331,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3333 S,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3333 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3334 L,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3334 L,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3334 L,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3334 L,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3335 S,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3335 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3335 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3335 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3338,XE 250 C,250 kW / 340 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3338,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3338,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 3338,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4241 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4241 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4241 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 S,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 TS,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 TS,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4243 TS,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4245 TSV,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4245 TSV,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4245 TSV,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4343 LS,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4343 LS,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4343 LS,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 4345 TS, TSV",XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 4345 TS, TSV",XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
"GINAF X-Series 4345 TS, TSV",XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4446 TS,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4446 TS,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4449 B,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4449 B,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 4449 B,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5250 TS,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5250 TS,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5250 TS,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5350 TS,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5350 TS,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5350 TS,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5364 T,XE 280 C,280 kW / 381 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5364 T,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5364 T,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5364 T,MX 340,340 kW / 462 HP,12900 ccm,? cylinders,? valves,,2008/07 - X,GINAF
GINAF X-Series 5376 T,MX 340,340 kW / 462 HP,12900 ccm,? cylinders,? valves,,2008/07 - X,GINAF
GINAF X-Series 5450 B,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5450 B,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5450 S,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5450 S,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5460 B,XE 315 C,315 kW / 428 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GINAF X-Series 5460 B,XE 355 C,355 kW / 483 HP,12580 ccm,? cylinders,? valves,,1999/10 - X,GINAF
GLAS 04 1004,N22,29 kW / 39 HP,992 ccm,4 cylinders,8 valves,Petrol,1963/07 - 1967/04,GLAS
GLAS 04 1204,R11,39 kW / 53 HP,1189 ccm,4 cylinders,8 valves,Petrol,1962/11 - 1967/04,GLAS
GLAS 04 1204 TS,R10,51 kW / 69 HP,1198 ccm,4 cylinders,8 valves,Petrol,1962/11 - 1967/04,GLAS
GLAS 04 1304,R16,63 kW / 86 HP,1290 ccm,4 cylinders,8 valves,Petrol,1965/02 - 1968/12,GLAS
GLAS 04 Convertible 1304,P10,44 kW / 60 HP,1290 ccm,4 cylinders,8 valves,Petrol,1965/08 - 1968/12,GLAS
GLAS 04 Convertible S 1004,N22,31 kW / 42 HP,992 ccm,4 cylinders,8 valves,Petrol,1962/05 - 1967/04,GLAS
