Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
FREIGHTLINER CENTURY 450 HP,DD13,336 kW / 457 HP,12809 ccm,? cylinders,? valves,,2011/01 - X,FREIGHTLINER
FREIGHTLINER CENTURY 470 HP,S60 (14.0 L),351 kW / 477 HP,14004 ccm,? cylinders,? valves,,2007/01 - 2010/12,FREIGHTLINER
FREIGHTLINER CENTURY 500 HP,S60 (14.0 L),373 kW / 507 HP,14004 ccm,? cylinders,? valves,,2007/01 - 2010/12,FREIGHTLINER
FREIGHTLINER CENTURY 500 HP,,372 kW / 507 HP,15200 ccm,? cylinders,? valves,,2002/01 - 2012/12,FREIGHTLINER
FREIGHTLINER CENTURY 525 HP,S60 (14.0 L),392 kW / 533 HP,14004 ccm,? cylinders,? valves,,2007/01 - 2010/12,FREIGHTLINER
FREIGHTLINER CENTURY 600 HP,,447 kW / 608 HP,15200 ccm,? cylinders,? valves,,2002/01 - 2012/12,FREIGHTLINER
FUSO (MITSUBISHI) CANTER 3C13,"4P10-BAT2, 4P10-T2",96 kW / 131 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 3C15,"4P10-BAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 3C18,"4P10-BAT6, 4P10-T6",129 kW / 175 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 3S13,"4P10-BAT2, 4P10-T2",96 kW / 131 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 3S15,"4P10-BAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 3S18,"4P10-AAT6, 4P10-T6",129 kW / 175 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 6C18,"4P10-8AT6, 4P10-T6",129 kW / 175 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 6S15,"4P10-BAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 7C15,"4P10-AAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 7C15 Eco Hybrid,"4P10-AAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 7C18,"4P10-AAT6, 4P10-T6",129 kW / 175 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 9C15,"4P10-AAT4, 4P10-T4",110 kW / 150 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) CANTER 9C18,"4P10-AAT6, 4P10-T6",129 kW / 175 HP,2998 ccm,? cylinders,? valves,,2013/06 - X,FUSO
FUSO (MITSUBISHI) COLT DIESEL 60,4D34-2A,85 kW / 116 HP,3908 ccm,? cylinders,? valves,,2004/01 - X,FUSO
FUSO (MITSUBISHI) COLT DIESEL 65,4D34-2A,85 kW / 116 HP,3908 ccm,? cylinders,? valves,,2004/01 - X,FUSO
FUSO (MITSUBISHI) Fighter MK2 FM15-270,6M60-1AT2,199 kW / 271 HP,7545 ccm,? cylinders,? valves,,2011/12 - X,FUSO
"FUSO (MITSUBISHI) Fighter MK2 FM1627, FM16-270","6M60-1AT2, 6M60-9AT2",199 kW / 271 HP,7545 ccm,? cylinders,? valves,,2011/12 - X,FUSO
FUSO (MITSUBISHI) Fighter MK2 FN2427,6M60-9AT2,199 kW / 271 HP,7545 ccm,? cylinders,? valves,,2012/03 - X,FUSO
FUSO (MITSUBISHI) Fighter MK2 FN2427,6M60-9AT2,199 kW / 271 HP,7545 ccm,? cylinders,? valves,,2012/03 - X,FUSO
