Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
WIESMANN GT MF4 Coupe 4.0 S,S65 B40 A,309 kW / 420 HP,3999 ccm,8 cylinders,32 valves,Petrol,2010/03 - X,WIESMANN
WIESMANN GT MF4 Coupe 4.4,N63 B44 A,300 kW / 408 HP,4395 ccm,8 cylinders,32 valves,Petrol,2010/11 - X,WIESMANN
WIESMANN GT MF4 Coupe 4.8,N62 B48 B,270 kW / 367 HP,4799 ccm,8 cylinders,32 valves,Petrol,2003/09 - X,WIESMANN
WIESMANN GT MF5 Coupe 4.4,S63 B44 A,408 kW / 555 HP,4395 ccm,8 cylinders,32 valves,Petrol,2010/11 - X,WIESMANN
WIESMANN GT MF5 Coupe 5.0,S85 B50 A,373 kW / 507 HP,4999 ccm,10 cylinders,40 valves,Petrol,2007/09 - X,WIESMANN
WIESMANN MF3 Roadster 2.8,M52 (286S1),142 kW / 193 HP,2793 ccm,6 cylinders,24 valves,Petrol,1996/01 - 2002/08,WIESMANN
WIESMANN MF3 Roadster 3.0,M54306S3,170 kW / 231 HP,2979 ccm,6 cylinders,24 valves,Petrol,2003/07 - X,WIESMANN
WIESMANN MF3 Roadster 3.2,S50326S1,236 kW / 321 HP,3201 ccm,6 cylinders,24 valves,Petrol,1996/01 - 2001/08,WIESMANN
WIESMANN MF3 Roadster 3.2,S54326S4,252 kW / 343 HP,3246 ccm,6 cylinders,24 valves,Petrol,2003/07 - X,WIESMANN
WIESMANN MF3 Roadster 3.2,S54326S4,239 kW / 325 HP,3246 ccm,6 cylinders,24 valves,Petrol,2001/05 - 2003/08,WIESMANN
WIESMANN MF4 Roadster 4.0 S,S65 B40 A,309 kW / 420 HP,3999 ccm,8 cylinders,32 valves,Petrol,2009/03 - X,WIESMANN
WIESMANN MF4 Roadster 4.4,N63 B44 A,300 kW / 408 HP,4395 ccm,8 cylinders,32 valves,Petrol,2010/11 - X,WIESMANN
WIESMANN MF4 Roadster 4.8,N62 B48 B,270 kW / 367 HP,4799 ccm,8 cylinders,32 valves,Petrol,2009/03 - X,WIESMANN
WIESMANN MF5 Roadster 4.4,S63 B44 A,408 kW / 555 HP,4395 ccm,8 cylinders,32 valves,Petrol,2010/11 - X,WIESMANN
WIESMANN MF5 Roadster 4.4,S63 B44 A,408 kW / 555 HP,4395 ccm,8 cylinders,32 valves,Petrol,2012/02 - X,WIESMANN
WIESMANN MF5 Roadster 5.0,S85 B50 A,373 kW / 507 HP,4999 ccm,10 cylinders,40 valves,Petrol,2009/09 - X,WIESMANN
YAGMUR Agriform 350 4WD,403D-15,34 kW / 46 HP,1496 ccm,? cylinders,? valves,,2012/01 - X,YAGMUR
YAGMUR Agriform 550 WD,404D-22,38 kW / 52 HP,2216 ccm,? cylinders,? valves,,2012/01 - X,YAGMUR
YUGO 311 1.1,128A4,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1983/04 - 1991/04,YUGO
YUGO 313 1.3,16A6046,49 kW / 67 HP,1301 ccm,4 cylinders,8 valves,Petrol,1983/04 - 1988/07,YUGO
YUGO 411 1.1,128A4,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1983/04 - 1984/12,YUGO
YUGO 413 1.3,138A4,47 kW / 64 HP,1301 ccm,4 cylinders,8 valves,Petrol,1983/09 - 1984/12,YUGO
YUGO 45-65 0.9,164A0,34 kW / 46 HP,903 ccm,4 cylinders,8 valves,Petrol,1983/03 - 1991/12,YUGO
YUGO 45-65 1.1,"11A, 128A4",41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1983/03 - 1991/12,YUGO
YUGO 45/65 Hatchback Van 0.9,9A,33 kW / 45 HP,903 ccm,4 cylinders,8 valves,Petrol,1988/04 - 1989/12,YUGO
YUGO 45/65 Hatchback Van 1.1,,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1989/03 - 1991/07,YUGO
YUGO 511 1.1,128A4,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1983/04 - 1991/04,YUGO
YUGO 513 1.3,146A6,49 kW / 67 HP,1298 ccm,4 cylinders,8 valves,Petrol,1988/07 - 1990/06,YUGO
YUGO 513 1.3,138A4,47 kW / 64 HP,1301 ccm,4 cylinders,8 valves,Petrol,1983/09 - 1988/07,YUGO
YUGO FLORIDA (VX65) 1.1,138 B.0000,44 kW / 60 HP,1116 ccm,4 cylinders,8 valves,Petrol,1989/08 - 2008/11,YUGO
YUGO FLORIDA (VX65) 1.3 (103 A),13 E.3.064,50 kW / 68 HP,1302 ccm,4 cylinders,8 valves,Petrol,1991/03 - 2008/11,YUGO
YUGO FLORIDA (VX65) 1.4,160 A1.000,51 kW / 69 HP,1372 ccm,4 cylinders,8 valves,Petrol,1991/10 - 1995/06,YUGO
YUGO FLORIDA (VX65) 1.4 Cat,160 A1.000,52 kW / 71 HP,1372 ccm,4 cylinders,8 valves,Petrol,1988/10 - 2008/11,YUGO
YUGO FLORIDA (VX65) 1.6,149 A.000,62 kW / 84 HP,1585 ccm,4 cylinders,8 valves,Petrol,1989/08 - 1995/06,YUGO
YUGO SANA 1.4,14FE,52 kW / 71 HP,1372 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1993/10,YUGO
YUGO TEMPO 0.9,164A0,33 kW / 45 HP,903 ccm,4 cylinders,8 valves,Petrol,1991/05 - 1993/12,YUGO
YUGO TEMPO 1.1,"11A, 128A4",41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1985/06 - 1993/07,YUGO
YUGO TEMPO 1.3,16A6046,49 kW / 67 HP,1301 ccm,4 cylinders,8 valves,Petrol,1991/05 - 1993/07,YUGO
ZASTAVA 10 1.2 60,188 A4.000,44 kW / 60 HP,1242 ccm,4 cylinders,8 valves,Petrol,2005/10 - X,ZASTAVA
ZASTAVA 101 1.1,128 A.064,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1975/05 - 1993/12,ZASTAVA
ZASTAVA 101 1.1,128 A.000,40 kW / 55 HP,1116 ccm,4 cylinders,8 valves,Petrol,1973/06 - 1990/01,ZASTAVA
ZASTAVA 101 1.1,128 A.000,37 kW / 50 HP,1116 ccm,4 cylinders,8 valves,Petrol,1975/12 - 1980/01,ZASTAVA
ZASTAVA 101 1.1 Super,128 AC5.000,47 kW / 64 HP,1116 ccm,4 cylinders,8 valves,Petrol,1979/07 - 1981/09,ZASTAVA
ZASTAVA 101 1.3,128 AR.000,48 kW / 65 HP,1290 ccm,4 cylinders,8 valves,Petrol,1981/10 - 1993/12,ZASTAVA
ZASTAVA KORAL 1.1,TU1JP,44 kW / 60 HP,1124 ccm,4 cylinders,8 valves,Petrol,2002/10 - 2008/11,ZASTAVA
ZASTAVA KORAL 1.1,128 A.064,45 kW / 61 HP,1116 ccm,4 cylinders,8 valves,Petrol,2002/10 - 2008/11,ZASTAVA
ZASTAVA YUGO 0.9,9A,33 kW / 45 HP,903 ccm,4 cylinders,8 valves,Petrol,1980/04 - 1992/06,ZASTAVA
ZASTAVA YUGO 55,128 A.000,40 kW / 54 HP,1116 ccm,4 cylinders,8 valves,Petrol,1980/04 - 1995/06,ZASTAVA
ZASTAVA YUGO 60 EFI (145 A),"100 GL. 0.64, 11 E 1.064",44 kW / 60 HP,1116 ccm,4 cylinders,8 valves,Petrol,1991/08 - 1995/06,ZASTAVA
