Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
"VALTRA T SERIES T172, T182",,118 kW / 160 HP,7368 ccm,? cylinders,? valves,,2009/01 - 2011/12,VALTRA
"VALTRA T SERIES T173, T193",,132 kW / 180 HP,7368 ccm,? cylinders,? valves,,2012/01 - X,VALTRA
VALTRA T SERIES T174,,140 kW / 190 HP,7400 ccm,? cylinders,? valves,,2015/02 - X,VALTRA
"VALTRA T SERIES T180, T190",,132 kW / 180 HP,7368 ccm,? cylinders,? valves,,2004/01 - 2007/12,VALTRA
VALTRA T SERIES T194,,155 kW / 211 HP,7400 ccm,? cylinders,? valves,,2015/02 - X,VALTRA
VALTRA T SERIES T202,,132 kW / 180 HP,7368 ccm,? cylinders,? valves,,2009/01 - 2011/12,VALTRA
"VALTRA T SERIES T203, T213",,147 kW / 200 HP,7368 ccm,? cylinders,? valves,,2012/01 - X,VALTRA
VALTRA T SERIES T214,,169 kW / 230 HP,7400 ccm,? cylinders,? valves,,2015/02 - X,VALTRA
VALTRA T SERIES T234,,184 kW / 250 HP,7400 ccm,? cylinders,? valves,,2015/02 - X,VALTRA
VAUXHALL ADAM (M13) 1.0,"B 10 XFT, D 10 XFT",85 kW / 116 HP,999 ccm,3 cylinders,12 valves,Petrol,2014/07 - 2018/11,VAUXHALL
VAUXHALL ADAM (M13) 1.2,"A 12 XEL, B 12 XEL, D 12 XEL",51 kW / 69 HP,1229 ccm,4 cylinders,16 valves,Petrol,2012/10 - 2019/04,VAUXHALL
VAUXHALL ADAM (M13) 1.4,"A 14 XEL, B 14 XEL, D 14 XEL",64 kW / 87 HP,1398 ccm,4 cylinders,16 valves,Petrol,2012/10 - 2019/02,VAUXHALL
VAUXHALL ADAM (M13) 1.4,"A 14 XER, B 14 XER",74 kW / 101 HP,1398 ccm,4 cylinders,16 valves,Petrol,2012/10 - 2019/02,VAUXHALL
VAUXHALL ADAM (M13) 1.4 S,B 14 NEH,110 kW / 150 HP,1364 ccm,4 cylinders,16 valves,Petrol,2014/11 - 2019/01,VAUXHALL
VAUXHALL AGILA Mk I (A) (H00) 1.0 12V,Z 10 XE,43 kW / 58 HP,973 ccm,3 cylinders,12 valves,Petrol,2000/09 - 2005/08,VAUXHALL
VAUXHALL AGILA Mk I (A) (H00) 1.0 12V,Z 10 XEP,44 kW / 60 HP,998 ccm,3 cylinders,12 valves,Petrol,2000/02 - 2006/11,VAUXHALL
VAUXHALL AGILA Mk I (A) (H00) 1.2 16V,Z 12 XE,55 kW / 75 HP,1199 ccm,4 cylinders,16 valves,Petrol,2000/09 - 2008/03,VAUXHALL
VAUXHALL AGILA Mk I (A) (H00) 1.2 16V Twinport,Z 12 XEP,59 kW / 80 HP,1229 ccm,4 cylinders,16 valves,Petrol,2004/07 - 2006/11,VAUXHALL
VAUXHALL AGILA Mk II (B) (H08) 1.0 12V,K10B,48 kW / 65 HP,996 ccm,3 cylinders,12 valves,Petrol,2008/01 - 2014/11,VAUXHALL
VAUXHALL AGILA Mk II (B) (H08) 1.0 i,K10B,50 kW / 68 HP,996 ccm,3 cylinders,12 valves,Petrol,2011/08 - 2014/11,VAUXHALL
VAUXHALL AGILA Mk II (B) (H08) 1.2 i 16V,K12B,63 kW / 86 HP,1242 ccm,4 cylinders,16 valves,Petrol,2008/01 - 2014/11,VAUXHALL
VAUXHALL AGILA Mk II (B) (H08) 1.2 i 16V,K12B,69 kW / 94 HP,1242 ccm,4 cylinders,16 valves,Petrol,2008/01 - 2014/11,VAUXHALL
VAUXHALL AGILA Mk II (B) (H08) 1.3 CDTI,"D13A, Z 13 DTJ",55 kW / 75 HP,1248 ccm,4 cylinders,16 valves,Diesel,2008/01 - 2014/11,VAUXHALL
VAUXHALL AMPERA (R12) EV 150 (D1JOI),"4ET50, A 14 XFL",111 kW / 151 HP,1398 ccm,4 cylinders,16 valves,Petrol/Electric,2012/03 - X,VAUXHALL
VAUXHALL ANTARA A (L07) 2.0 CDTi,Z 20 DM,93 kW / 126 HP,1991 ccm,4 cylinders,16 valves,Diesel,2006/08 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.0 CDTI,Z 20 DMH,110 kW / 150 HP,1991 ccm,4 cylinders,16 valves,Diesel,2006/08 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.0 CDTI 4x4,Z 20 DMH,110 kW / 150 HP,1991 ccm,4 cylinders,16 valves,Diesel,2006/08 - 2015/04,VAUXHALL
VAUXHALL ANTARA A (L07) 2.2 CDTi 4x4,A 22 DM,120 kW / 163 HP,2231 ccm,4 cylinders,16 valves,Diesel,2010/12 - X,VAUXHALL
VAUXHALL ANTARA A (L07) 2.2 CDTi 4x4,A 22 DMH,135 kW / 184 HP,2231 ccm,4 cylinders,16 valves,Diesel,2010/12 - X,VAUXHALL
VAUXHALL ANTARA A (L07) 2.2 CDTi FWD,A 22 DM,120 kW / 163 HP,2231 ccm,4 cylinders,16 valves,Diesel,2010/12 - X,VAUXHALL
VAUXHALL ANTARA A (L07) 2.4,"A 24 XE, A 24 XF",123 kW / 167 HP,2384 ccm,4 cylinders,16 valves,Petrol,2010/12 - 2015/04,VAUXHALL
