Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
SIMSON STAR Star 50 S,,3 kW / 4 HP,50 ccm,1 cylinder,? valves,Mixture,1996/01 - 2002/12,SIMSON
SIMSON STAR Star 50 T,,3 kW / 4 HP,50 ccm,1 cylinder,? valves,Mixture,1996/01 - 2001/12,SIMSON
"SISU POLAR 625 CARRIER, ROLL, WORKS",,375 kW / 510 HP,12809 ccm,? cylinders,? valves,,2014/01 - X,SISU
SISU POLAR 625 ROCK,,460 kW / 626 HP,15569 ccm,? cylinders,? valves,,2011/01 - X,SISU
SISU POLAR 625 ROCK,,375 kW / 510 HP,12809 ccm,? cylinders,? valves,,2014/01 - X,SISU
"SISU POLAR 625 ROCK, TIMBER",,375 kW / 510 HP,12809 ccm,? cylinders,? valves,,2014/01 - X,SISU
"SISU POLAR 625 ROCK, WORKS",,460 kW / 626 HP,15569 ccm,? cylinders,? valves,,2011/01 - X,SISU
"SISU POLAR 625 ROLL, TIMBER",,460 kW / 626 HP,15569 ccm,? cylinders,? valves,,2011/01 - X,SISU
SOLARIS ALPINO Alpino,"ISBe4-250B, ISBe6-250B",184 kW / 250 HP,6700 ccm,? cylinders,? valves,,2007/01 - X,SOLARIS
SOLARIS TROLLINO Trollino 12,,175 kW / 238 HP,0 ccm,? cylinders,? valves,,2007/01 - X,SOLARIS
SOLARIS TROLLINO Trollino 15,,175 kW / 238 HP,0 ccm,? cylinders,? valves,,2007/01 - X,SOLARIS
SOLARIS TROLLINO Trollino 18,,250 kW / 340 HP,0 ccm,? cylinders,? valves,,2007/01 - X,SOLARIS
SOLARIS URBINO I Urbino 10,"ISBe4-250B, ISBe6-250B",187 kW / 254 HP,6690 ccm,? cylinders,? valves,,2002/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 10,ISBe4-225,165 kW / 224 HP,6690 ccm,? cylinders,? valves,,2002/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 12,PF 183 M,183 kW / 249 HP,9187 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 12,ISBe4-250B,187 kW / 254 HP,6690 ccm,? cylinders,? valves,,2002/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 12,D 0826 LOH 17,162 kW / 220 HP,6871 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 12,D 0826 LOH 18,191 kW / 260 HP,6871 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 12,ISBe4-225,165 kW / 224 HP,6690 ccm,? cylinders,? valves,,2002/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 15,D 0826 LOH 18,191 kW / 260 HP,6871 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 15,PF 212 M,191 kW / 260 HP,9187 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 18,D 2866 LOH 25,228 kW / 310 HP,11967 ccm,? cylinders,? valves,,1999/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 18,D 2866 LOH 26,257 kW / 350 HP,11967 ccm,? cylinders,? valves,,1999/06 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 18,PF 235 M,235 kW / 320 HP,9187 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO I Urbino 9,D 0824 LOH 05,114 kW / 155 HP,4580 ccm,? cylinders,? valves,,1998/10 - 2006/09,SOLARIS
SOLARIS URBINO II Urbino 10,ISBe6-280B,206 kW / 280 HP,6690 ccm,? cylinders,? valves,,2012/01 - X,SOLARIS
SOLARIS URBINO II Urbino 12,PR 265 S,265 kW / 360 HP,9187 ccm,? cylinders,? valves,,2006/10 - X,SOLARIS
