Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
YULON 101 FEELING 1.6,CA 16 S,65 kW / 89 HP,1598 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1993/12,YULON
YULON 101 FEELING 1.8,CA18S,72 kW / 98 HP,1796 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1993/12,YULON
YULON YULON 1.8 i,CA18S,76 kW / 103 HP,1796 ccm,4 cylinders,8 valves,Petrol,1993/01 - 1998/12,YULON
ZASTAVA 10 1.2 60,188 A4.000,44 kW / 60 HP,1242 ccm,4 cylinders,8 valves,Petrol,2005/10 - X,ZASTAVA
ZASTAVA 101 1.1,128 A.064,41 kW / 56 HP,1116 ccm,4 cylinders,8 valves,Petrol,1975/05 - 1993/12,ZASTAVA
ZASTAVA 101 1.1,128 A.000,40 kW / 55 HP,1116 ccm,4 cylinders,8 valves,Petrol,1973/06 - 1990/01,ZASTAVA
ZASTAVA 101 1.1,128 A.000,37 kW / 50 HP,1116 ccm,4 cylinders,8 valves,Petrol,1975/12 - 1980/01,ZASTAVA
ZASTAVA 101 1.1 Super,128 AC5.000,47 kW / 64 HP,1116 ccm,4 cylinders,8 valves,Petrol,1979/07 - 1981/09,ZASTAVA
ZASTAVA 101 1.3,128 AR.000,48 kW / 65 HP,1290 ccm,4 cylinders,8 valves,Petrol,1981/10 - 1993/12,ZASTAVA
ZASTAVA KORAL 1.1,TU1JP,44 kW / 60 HP,1124 ccm,4 cylinders,8 valves,Petrol,2002/10 - 2008/11,ZASTAVA
ZASTAVA KORAL 1.1,128 A.064,45 kW / 61 HP,1116 ccm,4 cylinders,8 valves,Petrol,2002/10 - 2008/11,ZASTAVA
ZASTAVA YUGO 0.9,9A,33 kW / 45 HP,903 ccm,4 cylinders,8 valves,Petrol,1980/04 - 1992/06,ZASTAVA
ZASTAVA YUGO 55,128 A.000,40 kW / 54 HP,1116 ccm,4 cylinders,8 valves,Petrol,1980/04 - 1995/06,ZASTAVA
ZASTAVA YUGO 60 EFI (145 A),"100 GL. 0.64, 11 E 1.064",44 kW / 60 HP,1116 ccm,4 cylinders,8 valves,Petrol,1991/08 - 1995/06,ZASTAVA
ZASTAVA YUGO 65 EFI (145 A),13 E 1.064,48 kW / 65 HP,1302 ccm,4 cylinders,8 valves,Petrol,1981/07 - 1995/06,ZASTAVA
ZASTAVA YUGO TEMPO 1.3,146 A5.000,49 kW / 67 HP,1301 ccm,4 cylinders,8 valves,Petrol,2000/04 - 2004/09,ZASTAVA
ZENOS CARS E10 2.0,C20HDEX,147 kW / 200 HP,1999 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZENOS CARS E10 2.0 S,C20HDTX,184 kW / 250 HP,1999 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZENOS CARS E10 2.3 R,C23HD0D,257 kW / 350 HP,2261 ccm,4 cylinders,16 valves,Petrol,2015/01 - X,ZENOS CARS
ZUENDAPP KS KS 125 Sport (521-01),,11 kW / 15 HP,123 ccm,1 cylinder,? valves,Mixture,1971/01 - 1972/12,ZUENDAPP
ZUENDAPP KS KS 125 Sport (521-05),,13 kW / 17 HP,123 ccm,1 cylinder,? valves,Mixture,1973/01 - 1975/12,ZUENDAPP
