Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
PLYMOUTH SUNDANCE Saloon 2.5 Duster,EDM,74 kW / 101 HP,2501 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 2.5 Turbo,EDI,112 kW / 152 HP,2501 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 3.0 Duster,EFA,104 kW / 141 HP,2972 ccm,6 cylinders,12 valves,Petrol,1991/10 - 1994/09,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.3 LE,EGA,112 kW / 152 HP,3301 ccm,6 cylinders,12 valves,Petrol,1989/10 - 1990/09,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 2.0 i,ECH,98 kW / 133 HP,1996 ccm,4 cylinders,16 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 2.4 i,EDZ,111 kW / 151 HP,2429 ccm,4 cylinders,16 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 2.5 TD,ENC,85 kW / 116 HP,2499 ccm,4 cylinders,8 valves,Diesel,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.0,EFA,112 kW / 152 HP,2972 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.3 i,EGM,116 kW / 158 HP,3301 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.8 i,EGH,122 kW / 166 HP,3778 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.8 i,EGH,131 kW / 178 HP,3778 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.8 i AWD,EGH,122 kW / 166 HP,3778 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
PLYMOUTH VOYAGER / GRAND VOYAGER 3.8 i AWD,EGH,131 kW / 178 HP,3778 ccm,6 cylinders,12 valves,Petrol,1995/01 - 2001/03,PLYMOUTH
POLESTAR POLESTAR 1 (P) PHEV AWD,"B 4204 T22, B 4204 T25, ERAD2.2 L/R",448 kW / 609 HP,1969 ccm,4 cylinders,16 valves,Petrol/Electric,2018/03 - X,POLESTAR
POLESTAR POLESTAR 1 (P) PHEV AWD,"B 4204 T22, B 4204 T25, ERAD2.2 L/R",448 kW / 609 HP,1969 ccm,4 cylinders,16 valves,Petrol/Electric,2018/03 - X,POLESTAR
POLESTAR POLESTAR 2 (P) EV,E400V6,300 kW / 408 HP,? ccm,? cylinders,? valves,Electric,2019/04 - 2023/12,POLESTAR
POLESTAR POLESTAR 2 (P) EV,E400V6,170 kW / 231 HP,? ccm,? cylinders,? valves,Electric,2021/04 - X,POLESTAR
POLESTAR POLESTAR 2 (P) EV,"E400V2, E400V5",165 kW / 224 HP,? ccm,? cylinders,? valves,Electric,2021/04 - 2022/12,POLESTAR
POLESTAR POLESTAR 2 (P) EV,"E400V35, E400V36, EAD31P",350 kW / 476 HP,? ccm,? cylinders,? valves,Electric,2023/01 - X,POLESTAR
POLESTAR POLESTAR 2 (P) EV,E400V20,200 kW / 272 HP,? ccm,? cylinders,? valves,Electric,2023/03 - X,POLESTAR
POLESTAR POLESTAR 2 (P) EV,E400V20,220 kW / 299 HP,? ccm,? cylinders,? valves,Electric,2023/03 - X,POLESTAR
POLESTAR POLESTAR 2 (P) EV,E400V26,310 kW / 421 HP,? ccm,? cylinders,? valves,Electric,2023/03 - X,POLESTAR
PORSCHE 356 Cabriolet/Speedster 1100,369,29 kW / 40 HP,1086 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster 1300,"506, 506/1, 506/2",32 kW / 44 HP,1290 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster 1300 S,"589, 589/2",44 kW / 60 HP,1290 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster 1500,527,44 kW / 60 HP,1488 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster 1500 S,"528, 528/2",51 kW / 70 HP,1488 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1500 GS Carrera,547/1,81 kW / 110 HP,1498 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1500 GS Carrera,547/1,73 kW / 99 HP,1498 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1600,616/1,44 kW / 60 HP,1582 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1600 GS Carrera,6923A,85 kW / 115 HP,1588 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1600 GS Carrera,692/2,77 kW / 105 HP,1588 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster A 1600 S,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster B 1600,616/1,44 kW / 60 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/09 - 1963/08,PORSCHE
PORSCHE 356 Cabriolet/Speedster B 1600 Super 75,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/01 - 1963/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster B 1600 Super 90,616/7,66 kW / 90 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/01 - 1963/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster B 2000 GS Carrera 2,5872,103 kW / 140 HP,1966 ccm,4 cylinders,8 valves,Petrol,1959/01 - 1963/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster C 1600,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1963/01 - 1965/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster C 1600 SC,616/16,70 kW / 95 HP,1582 ccm,4 cylinders,8 valves,Petrol,1963/01 - 1965/12,PORSCHE
PORSCHE 356 Cabriolet/Speedster C 2000 GS Carrera 2,58720,103 kW / 140 HP,1966 ccm,4 cylinders,8 valves,Petrol,1963/01 - 1965/12,PORSCHE
PORSCHE 356 Coupe 1100,369,29 kW / 40 HP,1086 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe 1300,"506, 506/1, 506/2",32 kW / 44 HP,1290 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe 1300 S,"589, 589/2",44 kW / 60 HP,1290 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe 1500,"528, 546, 546/2",40 kW / 55 HP,1488 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe 1500,527,44 kW / 60 HP,1488 ccm,4 cylinders,8 valves,Petrol,1950/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe 1500 S,"528, 528/2",51 kW / 70 HP,1488 ccm,4 cylinders,8 valves,Petrol,1954/01 - 1955/12,PORSCHE
PORSCHE 356 Coupe A 1500 GS Carrera,547/1,81 kW / 110 HP,1498 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Coupe A 1500 GS Carrera,547/1,73 kW / 100 HP,1498 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Coupe A 1600,616/1,44 kW / 60 HP,1582 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Coupe A 1600 GS Carrera,6923A,85 kW / 115 HP,1588 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Coupe A 1600 GS Carrera,692/2,77 kW / 105 HP,1588 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1961/12,PORSCHE
PORSCHE 356 Coupe A 1600 Super,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1955/01 - 1959/12,PORSCHE
PORSCHE 356 Coupe B 1600,616/1,44 kW / 60 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/09 - 1963/08,PORSCHE
PORSCHE 356 Coupe B 1600 Super 75,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/01 - 1963/12,PORSCHE
PORSCHE 356 Coupe B 1600 Super 90,616/7,66 kW / 90 HP,1582 ccm,4 cylinders,8 valves,Petrol,1959/01 - 1963/12,PORSCHE
PORSCHE 356 Coupe B 2000 GS Carrera 2,587/1,96 kW / 130 HP,1966 ccm,4 cylinders,8 valves,Petrol,1961/01 - 1964/12,PORSCHE
PORSCHE 356 Coupe C 1600,616.15,55 kW / 75 HP,1582 ccm,4 cylinders,8 valves,Petrol,1963/01 - 1965/12,PORSCHE
PORSCHE 356 Coupe C 1600 SC,616/16,70 kW / 95 HP,1582 ccm,4 cylinders,8 valves,Petrol,1963/01 - 1965/12,PORSCHE
PORSCHE 356 Coupe C 2000 GS Carrera 2,587/1,96 kW / 130 HP,1966 ccm,4 cylinders,8 valves,Petrol,1961/01 - 1964/12,PORSCHE
PORSCHE 356 Coupe C 2000 GS Carrera 2,5872,103 kW / 140 HP,1966 ccm,4 cylinders,8 valves,Petrol,1961/10 - 1968/03,PORSCHE
"PORSCHE 718 BOXSTER (982) 2.0 T (982320, 982321, 982350, 982351)","DNYA, DPGB, MDD.PB",220 kW / 300 HP,1988 ccm,4 cylinders,16 valves,Petrol,2016/04 - X,PORSCHE
"PORSCHE 718 BOXSTER (982) 2.5 GTS (982340, 982341, 982380)","DNZB, DNZC, DPHB, MDJ.UA, MDJ.UB",269 kW / 365 HP,2497 ccm,4 cylinders,16 valves,Petrol,2017/10 - X,PORSCHE
"PORSCHE 718 BOXSTER (982) 2.5 S (982330, 982331)","DNZA, DPHA, MDD.NC",257 kW / 350 HP,2497 ccm,4 cylinders,16 valves,Petrol,2016/04 - X,PORSCHE
"PORSCHE 718 BOXSTER (982) GTS 4.0 (982360, 982361)","DKDC, DKDD, DWAC, DWAD",294 kW / 400 HP,3995 ccm,6 cylinders,24 valves,Petrol,2019/01 - X,PORSCHE
"PORSCHE 718 BOXSTER Spyder (982) 4.0 (982510, 982511)","DKDA, DWAA, DWAB",309 kW / 420 HP,3995 ccm,6 cylinders,24 valves,Petrol,2019/07 - X,PORSCHE
"PORSCHE 718 BOXSTER Spyder (982) 4.0 RS (982890, 982891)",DUDA,368 kW / 500 HP,3996 ccm,6 cylinders,24 valves,Petrol,2023/05 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) 2.0 (982120, 982121, 982150, 982151)","DNYA, DPGB, MDD.PB",220 kW / 300 HP,1988 ccm,4 cylinders,16 valves,Petrol,2016/04 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) 2.5 GTS (982140, 982141)","DNZB, DNZC, DPHB, MDJ.UA, MDJ.UB",269 kW / 365 HP,2497 ccm,4 cylinders,16 valves,Petrol,2017/10 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) 4.0 GT4 (982810, 982811)","DKDA, DWAA, DWAB",309 kW / 420 HP,3995 ccm,6 cylinders,24 valves,Petrol,2019/07 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) 4.0 GT4 RS (982850, 982851)","DUD, DUDA",368 kW / 500 HP,3996 ccm,6 cylinders,24 valves,Petrol,2021/11 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) GTS 4.0 (982160, 982161)","DKDC, DKDD, DWAC, DWAD",294 kW / 400 HP,3995 ccm,6 cylinders,24 valves,Petrol,2019/01 - X,PORSCHE
"PORSCHE 718 CAYMAN (982) S 2.5 (982130, 982131)","DNZA, DPHA, MDD.NC",257 kW / 350 HP,2497 ccm,4 cylinders,16 valves,Petrol,2016/04 - X,PORSCHE
PORSCHE 911 2.0,901.01,96 kW / 130 HP,1991 ccm,6 cylinders,12 valves,Petrol,1963/01 - 1967/07,PORSCHE
PORSCHE 911 2.0 E,"901.09, 901.11",103 kW / 140 HP,1991 ccm,6 cylinders,12 valves,Petrol,1968/09 - 1969/12,PORSCHE
PORSCHE 911 2.0 L,"901.05, 901.06, 901.07, 901.14, 901.17",96 kW / 130 HP,1991 ccm,6 cylinders,12 valves,Petrol,1967/08 - 1968/12,PORSCHE
PORSCHE 911 2.0 S,"901.02, 901.08",118 kW / 160 HP,1991 ccm,6 cylinders,12 valves,Petrol,1966/07 - 1968/11,PORSCHE
PORSCHE 911 2.0 S,901.10,125 kW / 170 HP,1991 ccm,6 cylinders,12 valves,Petrol,1968/09 - 1969/12,PORSCHE
PORSCHE 911 2.0 T,"901.03, 901.13",81 kW / 110 HP,1991 ccm,6 cylinders,12 valves,Petrol,1968/08 - 1972/02,PORSCHE
PORSCHE 911 2.2 E,"911.01, 911.04",114 kW / 155 HP,2195 ccm,6 cylinders,12 valves,Petrol,1969/09 - 1971/12,PORSCHE
PORSCHE 911 2.2 S,911.02,132 kW / 180 HP,2195 ccm,6 cylinders,12 valves,Petrol,1969/09 - 1971/12,PORSCHE
PORSCHE 911 2.2 T,"911.03, 911.06, 911.07, 911.08",92 kW / 125 HP,2195 ccm,6 cylinders,12 valves,Petrol,1970/01 - 1972/12,PORSCHE
PORSCHE 911 2.3 E,"911.52, 911.62",121 kW / 165 HP,2341 ccm,6 cylinders,12 valves,Petrol,1971/08 - 1973/12,PORSCHE
PORSCHE 911 2.3 S,"911.53, 911.63",140 kW / 190 HP,2341 ccm,6 cylinders,12 valves,Petrol,1971/08 - 1973/08,PORSCHE
PORSCHE 911 2.3 T,"911.57, 911.67",96 kW / 130 HP,2341 ccm,6 cylinders,12 valves,Petrol,1972/01 - 1973/12,PORSCHE
PORSCHE 911 2.3 T,"911.51, 911.61, 911.91, 911.96",103 kW / 140 HP,2341 ccm,6 cylinders,12 valves,Petrol,1971/08 - 1973/12,PORSCHE
PORSCHE 911 2.7,"911.41, 911.46, 911.92, 911.97",110 kW / 150 HP,2687 ccm,6 cylinders,12 valves,Petrol,1973/09 - 1975/08,PORSCHE
PORSCHE 911 2.7,"911.43, 911.48, 911.81, 911.82, 911.84, 911.85, 911.86, 911.89, 911.90, 911.94, 911.99",121 kW / 165 HP,2687 ccm,6 cylinders,12 valves,Petrol,1975/09 - 1977/06,PORSCHE
PORSCHE 911 2.7 S Carrera,"911.42, 911.47, 911.93, 911.98",129 kW / 175 HP,2687 ccm,6 cylinders,12 valves,Petrol,1973/08 - 1976/01,PORSCHE
PORSCHE 911 2.7 SC Carrera RS,911.83,154 kW / 209 HP,2687 ccm,6 cylinders,12 valves,Petrol,1972/08 - 1979/01,PORSCHE
PORSCHE 911 3.0 SC,930.10,150 kW / 204 HP,2993 ccm,6 cylinders,12 valves,Petrol,1980/08 - 1983/07,PORSCHE
PORSCHE 911 3.0 SC Carrera,"930.03, 930.13",132 kW / 180 HP,2993 ccm,6 cylinders,12 valves,Petrol,1977/07 - 1980/06,PORSCHE
PORSCHE 911 3.0 SC Carrera,"930.09, 930.19",138 kW / 188 HP,2993 ccm,6 cylinders,12 valves,Petrol,1979/09 - 1980/06,PORSCHE
PORSCHE 911 3.0 SC Carrera,"930.02, 930.12",147 kW / 200 HP,2993 ccm,6 cylinders,12 valves,Petrol,1975/09 - 1977/06,PORSCHE
PORSCHE 911 3.0 SC Carrera,930.12,154 kW / 209 HP,2993 ccm,6 cylinders,12 valves,Petrol,1974/03 - 1983/10,PORSCHE
PORSCHE 911 3.0 Turbo,"930.50, 930.52",191 kW / 260 HP,2993 ccm,6 cylinders,12 valves,Petrol,1975/01 - 1977/12,PORSCHE
"PORSCHE 911 3.0 Turbo (930680, 930770, 930670)",,174 kW / 237 HP,2993 ccm,6 cylinders,12 valves,Petrol,1975/09 - 1977/12,PORSCHE
PORSCHE 911 3.2,930.25,160 kW / 218 HP,3164 ccm,6 cylinders,12 valves,Petrol,1986/08 - 1989/08,PORSCHE
PORSCHE 911 3.2 SC Carrera,"930.20, 930.26",170 kW / 231 HP,3164 ccm,6 cylinders,12 valves,Petrol,1983/08 - 1989/08,PORSCHE
PORSCHE 911 3.2 SC Carrera,930.21,152 kW / 207 HP,3164 ccm,6 cylinders,12 valves,Petrol,1984/02 - 1987/06,PORSCHE
PORSCHE 911 3.3 SC Turbo,"930.60, 930.66",221 kW / 301 HP,3299 ccm,6 cylinders,12 valves,Petrol,1977/09 - 1987/06,PORSCHE
PORSCHE 911 3.3 Turbo,930.66,221 kW / 300 HP,3299 ccm,6 cylinders,12 valves,Petrol,1986/06 - 1989/08,PORSCHE
PORSCHE 911 3.3 Turbo,930.60,243 kW / 330 HP,3299 ccm,6 cylinders,12 valves,Petrol,1986/09 - 1990/11,PORSCHE
PORSCHE 911 (964) 3.3 Turbo,M 30.69,235 kW / 320 HP,3299 ccm,6 cylinders,12 valves,Petrol,1990/08 - 1993/09,PORSCHE
PORSCHE 911 (964) 3.3 Turbo S,M 30.69S,261 kW / 355 HP,3299 ccm,6 cylinders,12 valves,Petrol,1991/06 - 1992/12,PORSCHE
PORSCHE 911 (964) 3.6 Carrera,"M 64.01, M 64.02",184 kW / 250 HP,3600 ccm,6 cylinders,12 valves,Petrol,1989/07 - 1993/09,PORSCHE
PORSCHE 911 (964) 3.6 Carrera 4,M 64.01,184 kW / 250 HP,3600 ccm,6 cylinders,12 valves,Petrol,1988/12 - 1993/09,PORSCHE
PORSCHE 911 (964) 3.6 Carrera RS,M 64.03,191 kW / 260 HP,3600 ccm,6 cylinders,12 valves,Petrol,1991/06 - 1993/09,PORSCHE
PORSCHE 911 (964) 3.6 Turbo,M 64.50,265 kW / 360 HP,3600 ccm,6 cylinders,12 valves,Petrol,1993/01 - 1993/09,PORSCHE
PORSCHE 911 (991) 3.0 Carrera,"DCKA, MDC.KA",272 kW / 370 HP,2981 ccm,6 cylinders,24 valves,Petrol,2015/11 - 2019/12,PORSCHE
PORSCHE 911 (991) 3.0 Carrera 4,"DCKA, MDC.KA",272 kW / 370 HP,2981 ccm,6 cylinders,24 valves,Petrol,2015/11 - 2019/12,PORSCHE
PORSCHE 911 (991) 3.0 Carrera 4 GTS,MDC.JA,331 kW / 450 HP,2981 ccm,6 cylinders,24 valves,Petrol,2017/03 - 2019/12,PORSCHE
PORSCHE 911 (991) 3.0 Carrera 4S,"DCHA, MDC.HA",309 kW / 420 HP,2981 ccm,6 cylinders,24 valves,Petrol,2015/11 - 2019/12,PORSCHE
