Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
"PERODUA ALZA (M502) 1.5 (D46T, D49A, D53L)",3SZ-VE,76 kW / 103 HP,1495 ccm,4 cylinders,16 valves,Petrol,2009/03 - X,PERODUA
PERODUA KANCIL 0.7 (L200),EF-CL,23 kW / 31 HP,659 ccm,3 cylinders,6 valves,Petrol,1994/08 - 2009/07,PERODUA
PERODUA KANCIL 0.7 (P250),EF-SE,33 kW / 45 HP,659 ccm,3 cylinders,6 valves,Petrol,1998/10 - 2009/07,PERODUA
PERODUA KANCIL 0.8 (L201),ED 10,30 kW / 41 HP,847 ccm,3 cylinders,6 valves,Petrol,1994/08 - 2002/01,PERODUA
PERODUA KELISA 1.0 DVVT (L701RS),"EJ-DE, EJ-VE",41 kW / 56 HP,989 ccm,3 cylinders,12 valves,Petrol,2002/02 - 2007/06,PERODUA
PERODUA KELISA 1.0 (L701RS),EJ-DE,40 kW / 54 HP,989 ccm,3 cylinders,12 valves,Petrol,2002/02 - 2009/12,PERODUA
PERODUA KENARI 1.0 (L902),EJ-DE,41 kW / 56 HP,989 ccm,3 cylinders,12 valves,Petrol,2000/10 - 2009/12,PERODUA
PERODUA MYVI (M30_) 1.0 DVVT (M302),EJ-VE,43 kW / 58 HP,989 ccm,3 cylinders,12 valves,Petrol,2006/01 - 2011/06,PERODUA
PERODUA MYVI (M30_) 1.3 (M301),K3-VE,63 kW / 86 HP,1298 ccm,4 cylinders,16 valves,Petrol,2006/01 - 2011/06,PERODUA
PERODUA VIVA 0.66 (L250),EF-VE,35 kW / 48 HP,659 ccm,3 cylinders,12 valves,Petrol,2007/07 - 2014/06,PERODUA
PERODUA VIVA 0.8 (L252),ED-VE,39 kW / 53 HP,847 ccm,3 cylinders,12 valves,Petrol,2007/07 - 2014/06,PERODUA
PERODUA VIVA 1.0 (L251),EJ-VE,45 kW / 61 HP,989 ccm,3 cylinders,12 valves,Petrol,2007/07 - 2014/06,PERODUA
PFANZELT PM TRAC 2380 4f,TCD 6.1 L06 4V,133 kW / 181 HP,6057 ccm,? cylinders,? valves,,2015/03 - X,PFANZELT
PFANZELT PM TRAC 2385 4f,TCD 6.1 L06 4V,174 kW / 237 HP,6057 ccm,? cylinders,? valves,,2015/04 - X,PFANZELT
PGO MOTORCYCLES BIG MAX Big Max 50,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,1990/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES G-MAX G-Max 125,,7 kW / 10 HP,124 ccm,1 cylinder,2 valves,Petrol,2005/01 - 2006/12,PGO MOTORCYCLES
PGO MOTORCYCLES G-MAX G-Max 50,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,2005/01 - 2006/12,PGO MOTORCYCLES
PGO MOTORCYCLES LIGERO Ligero 50,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,2005/01 - 2005/12,PGO MOTORCYCLES
PGO MOTORCYCLES PM-S PM-S 50,,3 kW / 4 HP,49 ccm,1 cylinder,? valves,Mixture,2013/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES PM-X PM-X 50 Sport,,3 kW / 4 HP,49 ccm,1 cylinder,? valves,Mixture,2013/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES RODOSHOW RodoShow 50,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,2000/01 - 2005/12,PGO MOTORCYCLES
PGO MOTORCYCLES STAR Star 50,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,1990/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES STAR Star 80,,5 kW / 7 HP,74 ccm,1 cylinder,? valves,Mixture,1990/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES TORNADO Tornado 50,,3 kW / 4 HP,49 ccm,1 cylinder,? valves,Mixture,1997/01 - 1999/12,PGO MOTORCYCLES
PGO MOTORCYCLES T-REX T-Rex 125 4T,,7 kW / 9 HP,125 ccm,1 cylinder,2 valves,Petrol,2013/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES T-REX T-Rex 150 4T,,8 kW / 11 HP,148 ccm,1 cylinder,2 valves,Petrol,2001/01 - 2003/12,PGO MOTORCYCLES
PGO MOTORCYCLES T-REX T-Rex 50 2T,,2 kW / 3 HP,49 ccm,1 cylinder,? valves,Mixture,2006/01 - X,PGO MOTORCYCLES
PGO MOTORCYCLES T-REX T-Rex 50 2T,,4 kW / 5 HP,49 ccm,1 cylinder,? valves,Mixture,1999/01 - 2001/12,PGO MOTORCYCLES
PININFARINA SPIDEREUROPA (P124DS) 2000,132 C3.031,76 kW / 103 HP,1995 ccm,4 cylinders,8 valves,Petrol,1984/11 - 1985/11,PININFARINA
PININFARINA SPIDEREUROPA (P124DS) 2000,132 C3.031,77 kW / 105 HP,1995 ccm,4 cylinders,8 valves,Petrol,1982/03 - 1985/09,PININFARINA
PININFARINA SPIDEREUROPA (P124DS) 2000 Volumex,232R14,99 kW / 135 HP,1995 ccm,4 cylinders,8 valves,Petrol,1983/06 - 1985/11,PININFARINA
PLYMOUTH BREEZE 2.0 16V,ECB,98 kW / 133 HP,1996 ccm,4 cylinders,16 valves,Petrol,1995/12 - 2001/04,PLYMOUTH
PLYMOUTH BREEZE 2.4 16V,EDZ,103 kW / 140 HP,2429 ccm,4 cylinders,16 valves,Petrol,1995/12 - 2001/04,PLYMOUTH
PLYMOUTH BREEZE 2.4 16V,EDZ,112 kW / 152 HP,2429 ccm,4 cylinders,16 valves,Petrol,1995/12 - 2001/04,PLYMOUTH
PLYMOUTH NEON II Saloon 2.0 16V,ECB,98 kW / 133 HP,1996 ccm,4 cylinders,16 valves,Petrol,1999/08 - X,PLYMOUTH
PLYMOUTH NEON II Saloon 2.0 16V,ECH,112 kW / 152 HP,1996 ccm,4 cylinders,16 valves,Petrol,1999/09 - 2005/09,PLYMOUTH
PLYMOUTH NEON Saloon 2.0 16V,ECB,98 kW / 133 HP,1996 ccm,4 cylinders,16 valves,Petrol,1994/05 - 1999/08,PLYMOUTH
PLYMOUTH NEON Saloon 2.0 16V,ECC,107 kW / 145 HP,1996 ccm,4 cylinders,16 valves,Petrol,1994/06 - 1999/08,PLYMOUTH
PLYMOUTH NEON Saloon 2.0 16V,ECC,112 kW / 152 HP,1996 ccm,4 cylinders,16 valves,Petrol,1996/04 - 1999/08,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.2,EDF,67 kW / 91 HP,2213 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.2,EDF,72 kW / 98 HP,2213 ccm,4 cylinders,8 valves,Petrol,1986/03 - 1989/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.2 Turbo,EDR,109 kW / 148 HP,2213 ccm,4 cylinders,8 valves,Petrol,1986/03 - 1989/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.2 Turbo,EDR,129 kW / 175 HP,2213 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1991/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.5 Duster,EDM,74 kW / 101 HP,2501 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 2.5 Turbo,EDI,112 kW / 152 HP,2501 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Coupe 3.0 Duster,EFA,104 kW / 141 HP,2972 ccm,6 cylinders,12 valves,Petrol,1991/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 2.2,EDF,67 kW / 91 HP,2213 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1994/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 2.2,EDF,72 kW / 98 HP,2213 ccm,4 cylinders,8 valves,Petrol,1986/03 - 1989/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 2.2 Turbo,EDR,109 kW / 148 HP,2213 ccm,4 cylinders,8 valves,Petrol,1986/03 - 1989/09,PLYMOUTH
PLYMOUTH SUNDANCE Saloon 2.2 Turbo,EDR,129 kW / 175 HP,2213 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1991/09,PLYMOUTH
